Call Type,Incident Number,Call Final Disposition,Neighborhooods - Analysis Boundaries
Traffic Collision,7,Medical Examiner,Oceanview/Merced/Ingleside
Alarms,1529,Fire,Bayview Hunters Point
Industrial Accidents,8,Against Medical Advice,Nob Hill
HazMat,4,Fire,Castro/Upper Market
Traffic Collision,40,Patient Declined Transport,Russian Hill
Traffic Collision,4,Gone on Arrival,Outer Richmond
Citizen Assist / Service Call,2,Patient Declined Transport,Western Addition
Traffic Collision,17,No Merit,Treasure Island
Structure Fire,2,Cancelled,Oceanview/Merced/Ingleside
Fuel Spill,14,Fire,Marina
Alarms,8,Patient Declined Transport,South of Market
Alarms,104,Fire,Treasure Island
Smoke Investigation (Outside),5,Fire,Presidio Heights
Gas Leak (Natural and LP Gases),110,Fire,Tenderloin
Traffic Collision,5,Gone on Arrival,Castro/Upper Market
Citizen Assist / Service Call,2,Code 3 Transport,South of Market
Outside Fire,1,SFPD,Western Addition
Medical Incident,65,Medical Examiner,Inner Sunset
Industrial Accidents,6,Code 3 Transport,Outer Mission
Other,8,Code 2 Transport,Potrero Hill
Odor (Strange / Unknown),9,Fire,Potrero Hill
Odor (Strange / Unknown),4,Patient Declined Transport,Nob Hill
Traffic Collision,8,Against Medical Advice,North Beach
Alarms,4,Patient Declined Transport,Lone Mountain/USF
Medical Incident,66,Unable to Locate,Outer Mission
Traffic Collision,8,SFPD,Outer Richmond
Medical Incident,190,No Merit,Potrero Hill
Other,1,SFPD,Russian Hill
Traffic Collision,37,Code 2 Transport,Presidio Heights
Citizen Assist / Service Call,17,Code 2 Transport,Pacific Heights
Traffic Collision,2,SFPD,Castro/Upper Market
Electrical Hazard,49,Fire,Potrero Hill
Elevator / Escalator Rescue,2,Patient Declined Transport,Pacific Heights
Elevator / Escalator Rescue,1,Cancelled,Outer Mission
Traffic Collision,3,Cancelled,McLaren Park
Medical Incident,302,Patient Declined Transport,Excelsior
Electrical Hazard,12,Fire,Chinatown
Traffic Collision,2,Against Medical Advice,Glen Park
Citizen Assist / Service Call,108,Fire,Inner Sunset
Outside Fire,97,Fire,Mission Bay
Outside Fire,3,Unable to Locate,Financial District/South Beach
Alarms,606,Fire,Noe Valley
Medical Incident,193,No Merit,Chinatown
Traffic Collision,9,No Merit,Noe Valley
Odor (Strange / Unknown),4,Fire,Chinatown
Elevator / Escalator Rescue,2,Against Medical Advice,Bayview Hunters Point
Odor (Strange / Unknown),3,Fire,Marina
Structure Fire,4,Cancelled,Hayes Valley
"Extrication / Entrapped (Machinery, Vehicle)",5,Fire,West of Twin Peaks
Traffic Collision,51,Patient Declined Transport,Inner Richmond
Medical Incident,296,No Merit,Marina
Watercraft in Distress,14,Fire,Outer Richmond
Medical Incident,25,Other,Mission Bay
Medical Incident,733,Against Medical Advice,Tenderloin
Structure Fire,337,Fire,Noe Valley
Other,5,Patient Declined Transport,Outer Mission
Traffic Collision,35,Against Medical Advice,Golden Gate Park
Electrical Hazard,22,Fire,Marina
HazMat,6,Fire,Outer Mission
Other,14,Code 3 Transport,Mission
Other,1,Cancelled,Pacific Heights
Citizen Assist / Service Call,1,Unable to Locate,Golden Gate Park
Medical Incident,2,CHP,Portola
Traffic Collision,3,Gone on Arrival,Outer Mission
Other,37,Fire,Lakeshore
Vehicle Fire,2,Unable to Locate,Lakeshore
Citizen Assist / Service Call,1,Cancelled,Potrero Hill
Vehicle Fire,16,Fire,Excelsior
Structure Fire,151,Fire,Treasure Island
Structure Fire,10,Patient Declined Transport,South of Market
Elevator / Escalator Rescue,5,Fire,Presidio
Medical Incident,169,Unable to Locate,Castro/Upper Market
Alarms,3,Cancelled,Oceanview/Merced/Ingleside
"Extrication / Entrapped (Machinery, Vehicle)",7,Code 2 Transport,Financial District/South Beach
Traffic Collision,30,Against Medical Advice,Bernal Heights
Citizen Assist / Service Call,2,Patient Declined Transport,Haight Ashbury
Fuel Spill,5,Fire,Chinatown
Medical Incident,57,Unable to Locate,Outer Richmond
Traffic Collision,5,SFPD,Outer Mission
Assist Police,3,SFPD,Excelsior
Citizen Assist / Service Call,1,Unable to Locate,Bernal Heights
Smoke Investigation (Outside),5,Unable to Locate,South of Market
Vehicle Fire,2,No Merit,Nob Hill
Fuel Spill,20,Fire,Potrero Hill
Other,3,Code 3 Transport,Portola
Elevator / Escalator Rescue,1,Other,South of Market
Gas Leak (Natural and LP Gases),2,No Merit,Mission
Medical Incident,1,CHP,Mission
Citizen Assist / Service Call,1,Cancelled,Chinatown
Other,4,Code 2 Transport,Marina
Structure Fire,1252,Fire,Bayview Hunters Point
Outside Fire,3,Code 2 Transport,Pacific Heights
Traffic Collision,61,Patient Declined Transport,Outer Richmond
Outside Fire,1,Unable to Locate,Glen Park
Traffic Collision,59,Code 2 Transport,Chinatown
Medical Incident,996,Code 2 Transport,Noe Valley
Traffic Collision,66,Against Medical Advice,Financial District/South Beach
Other,4,No Merit,Bayview Hunters Point
Traffic Collision,34,Patient Declined Transport,Castro/Upper Market
HazMat,2,Fire,Russian Hill
Medical Incident,114,No Merit,Presidio Heights
Outside Fire,1,Unable to Locate,North Beach
Medical Incident,34,SFPD,Excelsior
Outside Fire,26,Fire,Inner Sunset
Medical Incident,8,Cancelled,None
Electrical Hazard,15,Fire,Presidio Heights
Traffic Collision,2,Other,Japantown
High Angle Rescue,9,Fire,Lakeshore
Citizen Assist / Service Call,1,Unable to Locate,Financial District/South Beach
Citizen Assist / Service Call,51,Fire,Mission Bay
Medical Incident,80,Against Medical Advice,Haight Ashbury
Traffic Collision,159,Code 2 Transport,Potrero Hill
Traffic Collision,34,Other,Hayes Valley
Medical Incident,16,Gone on Arrival,Excelsior
Other,2,SFPD,Outer Richmond
Other,3,Code 2 Transport,Presidio Heights
Traffic Collision,11,SFPD,Russian Hill
Medical Incident,49,Unable to Locate,Inner Richmond
Medical Incident,729,Code 2 Transport,Treasure Island
Structure Fire,2,No Merit,Lakeshore
Other,2,SFPD,Castro/Upper Market
Vehicle Fire,2,No Merit,Sunset/Parkside
Smoke Investigation (Outside),20,Fire,Potrero Hill
Alarms,9,Code 3 Transport,Tenderloin
Other,2,Cancelled,McLaren Park
Medical Incident,7268,Code 2 Transport,Bayview Hunters Point
Medical Incident,39,Medical Examiner,Mission Bay
Smoke Investigation (Outside),15,Fire,Chinatown
Gas Leak (Natural and LP Gases),81,Fire,Western Addition
Citizen Assist / Service Call,1,SFPD,Western Addition
Elevator / Escalator Rescue,4,Code 2 Transport,Tenderloin
Citizen Assist / Service Call,14,Patient Declined Transport,Tenderloin
Electrical Hazard,1,Unable to Locate,Noe Valley
Citizen Assist / Service Call,6,No Merit,Mission
Traffic Collision,34,Patient Declined Transport,Lakeshore
Other,11,Medical Examiner,Financial District/South Beach
Industrial Accidents,3,Code 2 Transport,Golden Gate Park
Traffic Collision,11,Code 3 Transport,None
Traffic Collision,10,Fire,Outer Mission
Outside Fire,1,Cancelled,Nob Hill
Other,1,Other,Bernal Heights
Medical Incident,70,Patient Declined Transport,Twin Peaks
Suspicious Package,3,SFPD,Sunset/Parkside
Elevator / Escalator Rescue,2,Fire,Seacliff
Outside Fire,85,Fire,Haight Ashbury
Other,38,Fire,Inner Richmond
Medical Incident,79,Against Medical Advice,Inner Sunset
Other,17,Code 2 Transport,Sunset/Parkside
Medical Incident,46,Other,Western Addition
Other,2,SFPD,Lakeshore
Odor (Strange / Unknown),6,Fire,Sunset/Parkside
Medical Incident,379,No Merit,Sunset/Parkside
Structure Fire,2,No Merit,Castro/Upper Market
Explosion,4,Cancelled,Potrero Hill
Gas Leak (Natural and LP Gases),1,Unable to Locate,Golden Gate Park
Medical Incident,2,Duplicate,Marina
Electrical Hazard,301,Fire,Sunset/Parkside
Structure Fire,10,No Merit,Outer Richmond
Fuel Spill,2,Fire,Visitacion Valley
Odor (Strange / Unknown),1,Unable to Locate,Bayview Hunters Point
Structure Fire,10,Cancelled,North Beach
Citizen Assist / Service Call,3,No Merit,West of Twin Peaks
Gas Leak (Natural and LP Gases),4,Patient Declined Transport,Tenderloin
Assist Police,2,No Merit,Sunset/Parkside
Other,54,Cancelled,Presidio
Other,19,Code 2 Transport,Nob Hill
Traffic Collision,17,Code 2 Transport,Visitacion Valley
Outside Fire,4,Cancelled,Sunset/Parkside
Traffic Collision,81,No Merit,South of Market
Traffic Collision,7,Other,Glen Park
Citizen Assist / Service Call,112,Fire,Western Addition
Outside Fire,172,Fire,Tenderloin
Alarms,3142,Fire,South of Market
Watercraft in Distress,3,Fire,Lakeshore
Industrial Accidents,18,Code 2 Transport,Financial District/South Beach
Vehicle Fire,2,No Merit,Marina
Water Rescue,16,No Merit,Lincoln Park
Other,74,Fire,Castro/Upper Market
Alarms,9,No Merit,Russian Hill
Traffic Collision,3,Fire,Russian Hill
Traffic Collision,2,Other,North Beach
Other,73,Fire,Outer Richmond
Gas Leak (Natural and LP Gases),17,Fire,Mission Bay
Electrical Hazard,1,No Merit,Excelsior
Medical Incident,142,Medical Examiner,Western Addition
Medical Incident,23,Unable to Locate,Lakeshore
Alarms,6,Cancelled,Financial District/South Beach
Medical Incident,64,Fire,Excelsior
Outside Fire,3,Unable to Locate,Hayes Valley
Odor (Strange / Unknown),1,No Merit,Excelsior
Citizen Assist / Service Call,2,Code 3 Transport,Noe Valley
Water Rescue,15,Fire,Mission Bay
Elevator / Escalator Rescue,33,Fire,Pacific Heights
Electrical Hazard,7,Fire,Nob Hill
Smoke Investigation (Outside),7,Fire,Visitacion Valley
Alarms,461,Fire,Lone Mountain/USF
Odor (Strange / Unknown),9,Fire,Nob Hill
Other,5,Other,Financial District/South Beach
Elevator / Escalator Rescue,1,Cancelled,Lakeshore
Traffic Collision,9,No Merit,Lone Mountain/USF
Medical Incident,575,No Merit,Nob Hill
Citizen Assist / Service Call,105,Fire,Financial District/South Beach
Vehicle Fire,2,SFPD,Outer Richmond
Fuel Spill,4,Fire,Lone Mountain/USF
Medical Incident,15,SFPD,Lakeshore
Structure Fire,33,Other,Mission
Other,3,No Merit,Sunset/Parkside
Traffic Collision,6,Code 3 Transport,McLaren Park
Outside Fire,104,Fire,North Beach
Water Rescue,13,SFPD,Financial District/South Beach
Citizen Assist / Service Call,26,Code 2 Transport,Mission
Citizen Assist / Service Call,1,Cancelled,Lone Mountain/USF
Elevator / Escalator Rescue,2,Patient Declined Transport,Mission
Traffic Collision,24,Against Medical Advice,Mission Bay
Traffic Collision,22,Other,Tenderloin
Outside Fire,13,Fire,Glen Park
Medical Incident,14,Other,Golden Gate Park
Assist Police,2,Fire,Castro/Upper Market
Alarms,4,Cancelled,Western Addition
Structure Fire,1398,Fire,Nob Hill
Citizen Assist / Service Call,1,Other,Outer Richmond
Citizen Assist / Service Call,3,Cancelled,South of Market
Structure Fire,5,Code 3 Transport,Oceanview/Merced/Ingleside
Structure Fire,2,Cancelled,Haight Ashbury
Citizen Assist / Service Call,3,Other,Castro/Upper Market
Citizen Assist / Service Call,12,Code 2 Transport,West of Twin Peaks
Medical Incident,139,Medical Examiner,Financial District/South Beach
Fuel Spill,14,Fire,South of Market
Vehicle Fire,3,No Merit,Treasure Island
Smoke Investigation (Outside),2,Unable to Locate,Potrero Hill
Odor (Strange / Unknown),3,No Merit,Inner Richmond
Medical Incident,25,Fire,Inner Richmond
Medical Incident,5367,Code 2 Transport,Sunset/Parkside
Water Rescue,8,Medical Examiner,Lakeshore
Structure Fire,4,No Merit,Excelsior
Other,2,Other,Western Addition
Structure Fire,4,Code 2 Transport,Castro/Upper Market
Medical Incident,31,Other,Bernal Heights
Citizen Assist / Service Call,4,Code 2 Transport,Portola
Citizen Assist / Service Call,1,Patient Declined Transport,Japantown
Medical Incident,11,Gone on Arrival,Lakeshore
Structure Fire,28,Code 2 Transport,Outer Richmond
Structure Fire,11,Patient Declined Transport,Chinatown
Medical Incident,69,Medical Examiner,Bernal Heights
Other,44,Fire,Excelsior
Traffic Collision,11,Cancelled,Portola
Medical Incident,46,Against Medical Advice,Japantown
Citizen Assist / Service Call,19,Fire,Golden Gate Park
Traffic Collision,6,Other,Haight Ashbury
Other,4,Medical Examiner,Western Addition
Traffic Collision,16,Cancelled,West of Twin Peaks
Vehicle Fire,3,Other,Oceanview/Merced/Ingleside
Alarms,204,Fire,Visitacion Valley
Other,5,No Merit,Nob Hill
Medical Incident,185,Other,Financial District/South Beach
Confined Space / Structure Collapse,6,Code 3 Transport,Bayview Hunters Point
Traffic Collision,4,No Merit,Visitacion Valley
Traffic Collision,553,Code 2 Transport,South of Market
Medical Incident,3,Code 3 Transport,Lincoln Park
Smoke Investigation (Outside),7,Fire,Lone Mountain/USF
Odor (Strange / Unknown),1,Unable to Locate,Marina
Water Rescue,9,Code 2 Transport,Lincoln Park
Citizen Assist / Service Call,1,Other,Inner Richmond
Traffic Collision,16,Medical Examiner,Tenderloin
Structure Fire,10,Unable to Locate,Bayview Hunters Point
Medical Incident,30,Medical Examiner,Golden Gate Park
Smoke Investigation (Outside),26,Fire,South of Market
Water Rescue,32,Code 3 Transport,Nob Hill
Traffic Collision,2,Code 3 Transport,Pacific Heights
Vehicle Fire,3,Patient Declined Transport,Outer Mission
Traffic Collision,59,Code 2 Transport,Lone Mountain/USF
Medical Incident,4348,Code 2 Transport,Nob Hill
Traffic Collision,52,Cancelled,Mission
Medical Incident,25,Cancelled,Presidio
Citizen Assist / Service Call,72,Fire,Bernal Heights
Medical Incident,46,Fire,Outer Richmond
Electrical Hazard,1,No Merit,Castro/Upper Market
Gas Leak (Natural and LP Gases),33,Fire,Oceanview/Merced/Ingleside
Medical Incident,154,Against Medical Advice,Hayes Valley
Vehicle Fire,1,Cancelled,Pacific Heights
Medical Incident,2,Duplicate,Noe Valley
Electrical Hazard,10,No Merit,Outer Richmond
Medical Incident,74,Fire,Castro/Upper Market
Structure Fire,985,Fire,Sunset/Parkside
Vehicle Fire,10,Fire,Lakeshore
Odor (Strange / Unknown),6,Code 2 Transport,Excelsior
Structure Fire,16,Cancelled,Tenderloin
Medical Incident,413,Code 3 Transport,West of Twin Peaks
Explosion,5,Fire,Financial District/South Beach
Medical Incident,10,SFPD,Inner Richmond
Traffic Collision,4,Unable to Locate,Russian Hill
Outside Fire,8,Fire,Japantown
Other,1,Unable to Locate,Castro/Upper Market
Traffic Collision,34,Against Medical Advice,Western Addition
Outside Fire,1,Cancelled,Bayview Hunters Point
Structure Fire,244,Fire,Presidio Heights
Outside Fire,3,Unable to Locate,Tenderloin
Industrial Accidents,3,Code 2 Transport,Mission Bay
Alarms,4,Patient Declined Transport,Sunset/Parkside
Water Rescue,13,Code 3 Transport,Marina
Medical Incident,155,Code 3 Transport,Portola
Citizen Assist / Service Call,3,Against Medical Advice,Russian Hill
Outside Fire,1,Cancelled,Treasure Island
Medical Incident,2149,Code 2 Transport,Marina
Medical Incident,14,Other,Oceanview/Merced/Ingleside
Vehicle Fire,2,Other,Financial District/South Beach
Citizen Assist / Service Call,11,Code 3 Transport,Sunset/Parkside
Other,1,Other,Mission Bay
Medical Incident,233,Patient Declined Transport,Outer Mission
Alarms,3,No Merit,Twin Peaks
Vehicle Fire,2,Cancelled,Presidio
Traffic Collision,1,Fire,Twin Peaks
Water Rescue,43,Fire,Financial District/South Beach
Citizen Assist / Service Call,3,Patient Declined Transport,Glen Park
Other,3,No Merit,Marina
Vehicle Fire,12,Fire,Castro/Upper Market
Medical Incident,87,Fire,Lakeshore
Medical Incident,57,Unable to Locate,Excelsior
Outside Fire,109,Fire,Hayes Valley
Alarms,3,Cancelled,Mission Bay
Medical Incident,795,Code 3 Transport,Mission
Vehicle Fire,19,Fire,Outer Richmond
Traffic Collision,8,Code 3 Transport,Presidio
Citizen Assist / Service Call,2,SFPD,Financial District/South Beach
Medical Incident,81,Cancelled,Pacific Heights
Medical Incident,4,Gone on Arrival,Inner Richmond
Gas Leak (Natural and LP Gases),84,Fire,Financial District/South Beach
Gas Leak (Natural and LP Gases),1,Unable to Locate,Mission Bay
Medical Incident,1030,Code 2 Transport,Presidio Heights
Water Rescue,1,Fire,Bernal Heights
Other,3,Code 2 Transport,Treasure Island
Medical Incident,57,SFPD,Castro/Upper Market
Outside Fire,2,Unable to Locate,Haight Ashbury
Medical Incident,135,Against Medical Advice,North Beach
Alarms,993,Fire,Potrero Hill
Traffic Collision,9,Unable to Locate,Outer Mission
Medical Incident,20,SFPD,Outer Richmond
Citizen Assist / Service Call,54,Fire,Oceanview/Merced/Ingleside
Traffic Collision,15,No Merit,Potrero Hill
Outside Fire,2,No Merit,Pacific Heights
Traffic Collision,8,No Merit,Chinatown
Gas Leak (Natural and LP Gases),56,Fire,Bernal Heights
Medical Incident,5,Cancelled,Seacliff
Medical Incident,189,No Merit,Noe Valley
Alarms,1012,Fire,Chinatown
Traffic Collision,38,Patient Declined Transport,Excelsior
Other,16,Code 2 Transport,Bayview Hunters Point
Medical Incident,2,Cancelled,McLaren Park
Structure Fire,922,Fire,Marina
Medical Incident,36,Against Medical Advice,Glen Park
Other,2,Medical Examiner,Mission Bay
Electrical Hazard,78,Fire,Noe Valley
Medical Incident,578,No Merit,Bayview Hunters Point
Citizen Assist / Service Call,3,Other,Lakeshore
Medical Incident,81,Medical Examiner,Oceanview/Merced/Ingleside
Water Rescue,14,Fire,Golden Gate Park
Medical Incident,168,Patient Declined Transport,Russian Hill
Odor (Strange / Unknown),11,Fire,Bayview Hunters Point
Elevator / Escalator Rescue,14,No Merit,Tenderloin
Electrical Hazard,71,Fire,Bayview Hunters Point
Structure Fire,10,Cancelled,Inner Sunset
Other,17,Code 2 Transport,Noe Valley
Medical Incident,45,Gone on Arrival,Castro/Upper Market
Electrical Hazard,1,Unable to Locate,Sunset/Parkside
Water Rescue,13,Medical Examiner,Outer Richmond
Electrical Hazard,13,Fire,Treasure Island
Gas Leak (Natural and LP Gases),3,Fire,Golden Gate Park
Medical Incident,15,Gone on Arrival,Outer Richmond
Structure Fire,13,Code 2 Transport,Lakeshore
Medical Incident,60,No Merit,Treasure Island
Odor (Strange / Unknown),2,Fire,Treasure Island
Odor (Strange / Unknown),4,Patient Declined Transport,South of Market
Vehicle Fire,8,Fire,Inner Richmond
Other,1,SFPD,Excelsior
Traffic Collision,29,Cancelled,Sunset/Parkside
Medical Incident,8,Fire,Golden Gate Park
Alarms,19,No Merit,Tenderloin
Outside Fire,7,No Merit,South of Market
Water Rescue,16,Patient Declined Transport,Russian Hill
Other,21,SFPD,Mission Bay
Citizen Assist / Service Call,2,Against Medical Advice,Japantown
Water Rescue,15,No Merit,Bayview Hunters Point
Traffic Collision,6,Fire,Tenderloin
Structure Fire,21,Code 2 Transport,Financial District/South Beach
Other,4,Patient Declined Transport,Inner Sunset
Gas Leak (Natural and LP Gases),2,No Merit,Treasure Island
Medical Incident,5,Gone on Arrival,Oceanview/Merced/Ingleside
Medical Incident,1,CHP,Bayview Hunters Point
Gas Leak (Natural and LP Gases),6,No Merit,Bayview Hunters Point
Medical Incident,118,Medical Examiner,Outer Richmond
Administrative,2,Other,Tenderloin
Vehicle Fire,2,Unable to Locate,Western Addition
Structure Fire,2293,Fire,Mission
Vehicle Fire,7,Code 3 Transport,Sunset/Parkside
Medical Incident,55,Medical Examiner,Castro/Upper Market
Outside Fire,30,Fire,Russian Hill
Citizen Assist / Service Call,1,Other,Financial District/South Beach
Gas Leak (Natural and LP Gases),7,No Merit,Noe Valley
Medical Incident,91,Code 3 Transport,Presidio Heights
Elevator / Escalator Rescue,25,Fire,Potrero Hill
Traffic Collision,26,Unable to Locate,Hayes Valley
"Extrication / Entrapped (Machinery, Vehicle)",6,Fire,Noe Valley
Traffic Collision,49,Patient Declined Transport,Mission Bay
Citizen Assist / Service Call,2,Code 2 Transport,Nob Hill
Other,2,Medical Examiner,Excelsior
Medical Incident,51,Fire,Bernal Heights
Other,54,Fire,Western Addition
Medical Incident,12,Other,Inner Richmond
Structure Fire,619,Fire,West of Twin Peaks
Traffic Collision,2,SFPD,Inner Sunset
Assist Police,4,Fire,Financial District/South Beach
Electrical Hazard,1,No Merit,Bernal Heights
Fuel Spill,6,Fire,Presidio
Citizen Assist / Service Call,87,Fire,Castro/Upper Market
Other,2,Gone on Arrival,Mission Bay
Gas Leak (Natural and LP Gases),3,SFPD,Outer Richmond
Medical Incident,19,SFPD,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,114,Fire,Outer Richmond
Structure Fire,193,Fire,Portola
Structure Fire,2,Other,Nob Hill
Elevator / Escalator Rescue,28,Fire,Chinatown
Gas Leak (Natural and LP Gases),53,Fire,Lakeshore
Assist Police,3,Fire,Bernal Heights
Electrical Hazard,1,No Merit,Financial District/South Beach
Medical Incident,90,Fire,Financial District/South Beach
Medical Incident,86,Unable to Locate,Mission Bay
Alarms,3,Other,Visitacion Valley
Medical Incident,340,Patient Declined Transport,Hayes Valley
Vehicle Fire,13,Fire,Oceanview/Merced/Ingleside
Water Rescue,127,Fire,Lakeshore
Medical Incident,74,Medical Examiner,Inner Richmond
Traffic Collision,3,Fire,Haight Ashbury
Alarms,3,No Merit,Haight Ashbury
Medical Incident,14249,Code 2 Transport,Mission
Outside Fire,49,Fire,Outer Mission
Traffic Collision,4,Cancelled,Nob Hill
Medical Incident,74,Cancelled,Lone Mountain/USF
Traffic Collision,41,Code 2 Transport,Presidio
Other,3,Cancelled,Visitacion Valley
Other,4,No Merit,West of Twin Peaks
Structure Fire,35,No Merit,Western Addition
Other,8,No Merit,Mission
Vehicle Fire,1,Other,Lakeshore
Medical Incident,2875,Code 2 Transport,West of Twin Peaks
Medical Incident,78,Other,Castro/Upper Market
Marine Fire,11,Fire,North Beach
Smoke Investigation (Outside),2,Fire,Presidio
Medical Incident,1046,Cancelled,South of Market
Medical Incident,40,Other,Outer Richmond
Industrial Accidents,6,Code 3 Transport,Mission Bay
Citizen Assist / Service Call,1,Other,Bernal Heights
Other,2,Unable to Locate,Oceanview/Merced/Ingleside
Water Rescue,13,Code 2 Transport,Marina
Medical Incident,1502,Code 2 Transport,Portola
Smoke Investigation (Outside),1,Cancelled,Outer Richmond
Medical Incident,95,Patient Declined Transport,Japantown
Medical Incident,176,Code 3 Transport,Marina
Citizen Assist / Service Call,51,Fire,Inner Richmond
Citizen Assist / Service Call,29,Code 2 Transport,Sunset/Parkside
Odor (Strange / Unknown),4,No Merit,Oceanview/Merced/Ingleside
Vehicle Fire,60,Fire,Financial District/South Beach
Gas Leak (Natural and LP Gases),85,Fire,Outer Richmond
Medical Incident,26,Fire,Oceanview/Merced/Ingleside
Fuel Spill,1,No Merit,Hayes Valley
Medical Incident,8,Gone on Arrival,Golden Gate Park
Water Rescue,26,Cancelled,Presidio
Traffic Collision,74,Code 2 Transport,Pacific Heights
Traffic Collision,5,Unable to Locate,Glen Park
Citizen Assist / Service Call,8,Code 2 Transport,Presidio Heights
Outside Fire,3,Code 2 Transport,Chinatown
Traffic Collision,6,Code 3 Transport,Lone Mountain/USF
Medical Incident,459,Code 3 Transport,Nob Hill
Traffic Collision,8,Gone on Arrival,Tenderloin
Gas Leak (Natural and LP Gases),42,Fire,Castro/Upper Market
Electrical Hazard,1,No Merit,Oceanview/Merced/Ingleside
Water Rescue,110,Fire,Outer Richmond
Gas Leak (Natural and LP Gases),4,Code 2 Transport,Nob Hill
Citizen Assist / Service Call,1,Cancelled,Seacliff
Medical Incident,33,SFPD,Bernal Heights
Traffic Collision,2,Unable to Locate,North Beach
HazMat,5,Fire,Tenderloin
Electrical Hazard,1,Unable to Locate,Mission
Medical Incident,91,Against Medical Advice,Outer Mission
Other,28,Patient Declined Transport,Tenderloin
Citizen Assist / Service Call,2,No Merit,Noe Valley
Traffic Collision,2,Cancelled,Marina
Citizen Assist / Service Call,6,No Merit,Bayview Hunters Point
Structure Fire,10,SFPD,Mission
Medical Incident,14,Other,Lakeshore
Citizen Assist / Service Call,2,Patient Declined Transport,Russian Hill
Vehicle Fire,3,Code 2 Transport,West of Twin Peaks
Medical Incident,19,Gone on Arrival,Bernal Heights
Traffic Collision,79,Patient Declined Transport,Western Addition
Explosion,10,Fire,Castro/Upper Market
Traffic Collision,19,SFPD,Tenderloin
Traffic Collision,68,Code 3 Transport,South of Market
Smoke Investigation (Outside),6,Fire,Pacific Heights
Medical Incident,62,Code 2 Transport,Lincoln Park
Elevator / Escalator Rescue,4,Fire,Visitacion Valley
Explosion,5,Fire,Outer Richmond
Medical Incident,5,SFPD,Golden Gate Park
Other,38,Fire,Mission Bay
Gas Leak (Natural and LP Gases),63,Fire,Inner Richmond
Other,10,Cancelled,Potrero Hill
Medical Incident,116,Gone on Arrival,Financial District/South Beach
Elevator / Escalator Rescue,1,Cancelled,Western Addition
Structure Fire,13,Code 2 Transport,Oceanview/Merced/Ingleside
Structure Fire,10,No Merit,Mission Bay
Vehicle Fire,18,Fire,Golden Gate Park
Water Rescue,13,Medical Examiner,Financial District/South Beach
HazMat,5,Fire,Haight Ashbury
Medical Incident,58,Medical Examiner,Lakeshore
Other,1,Unable to Locate,Bernal Heights
Citizen Assist / Service Call,3,Other,Oceanview/Merced/Ingleside
Medical Incident,771,Code 3 Transport,Sunset/Parkside
Smoke Investigation (Outside),2,Fire,Seacliff
Medical Incident,86,Against Medical Advice,Russian Hill
Medical Incident,105,Unable to Locate,Western Addition
Citizen Assist / Service Call,8,Code 2 Transport,Marina
Smoke Investigation (Outside),17,Fire,McLaren Park
Smoke Investigation (Outside),1,No Merit,Hayes Valley
Other,2,Cancelled,Chinatown
Fuel Spill,5,Fire,Pacific Heights
Medical Incident,94,Patient Declined Transport,Glen Park
Traffic Collision,4,Code 2 Transport,Seacliff
Traffic Collision,21,Against Medical Advice,Excelsior
Citizen Assist / Service Call,1,Patient Declined Transport,Outer Mission
Alarms,4,Code 2 Transport,Hayes Valley
Traffic Collision,14,Code 2 Transport,McLaren Park
Traffic Collision,4,SFPD,Haight Ashbury
Vehicle Fire,29,Fire,Bernal Heights
Citizen Assist / Service Call,4,Code 3 Transport,Mission
Structure Fire,13,Fire,Lincoln Park
Traffic Collision,7,Cancelled,Presidio Heights
Medical Incident,306,Patient Declined Transport,North Beach
Medical Incident,106,SFPD,Financial District/South Beach
Electrical Hazard,2,Other,Bayview Hunters Point
Citizen Assist / Service Call,3,Cancelled,Pacific Heights
Alarms,6,Fire,None
Citizen Assist / Service Call,1,Unable to Locate,Excelsior
Citizen Assist / Service Call,211,Fire,Lakeshore
Alarms,9,Patient Declined Transport,Mission
Elevator / Escalator Rescue,6,Cancelled,Financial District/South Beach
Alarms,12,Code 2 Transport,Inner Sunset
Outside Fire,1,Unable to Locate,Outer Mission
Outside Fire,7,No Merit,Potrero Hill
Medical Incident,20,Gone on Arrival,Western Addition
Gas Leak (Natural and LP Gases),3,No Merit,Nob Hill
Citizen Assist / Service Call,14,Code 2 Transport,Noe Valley
Traffic Collision,2,Unable to Locate,Haight Ashbury
Elevator / Escalator Rescue,5,Fire,Lone Mountain/USF
Citizen Assist / Service Call,1,Cancelled,None
Citizen Assist / Service Call,4,Against Medical Advice,Haight Ashbury
Traffic Collision,98,Patient Declined Transport,Bernal Heights
Structure Fire,9,Other,Noe Valley
Medical Incident,425,Unable to Locate,Financial District/South Beach
Medical Incident,85,Fire,Mission Bay
Traffic Collision,5,No Merit,Pacific Heights
Outside Fire,2,No Merit,Chinatown
Alarms,1488,Fire,Pacific Heights
Gas Leak (Natural and LP Gases),33,Fire,Excelsior
Structure Fire,10,Other,Bayview Hunters Point
Electrical Hazard,1,Fire,Lincoln Park
Elevator / Escalator Rescue,107,Fire,South of Market
Medical Incident,9,No Merit,Lincoln Park
Other,41,Fire,Oceanview/Merced/Ingleside
Smoke Investigation (Outside),4,No Merit,Inner Sunset
Traffic Collision,52,Patient Declined Transport,Golden Gate Park
Other,2,SFPD,Bernal Heights
