NodeID,ParentID,Incident Number
Elevator - Escalator Rescue.Hayes Valley.Fire,Elevator - Escalator Rescue.Hayes Valley,35
Traffic Collision.Potrero Hill.Unable to Locate,Traffic Collision.Potrero Hill,13
Medical Incident.West of Twin Peaks.Medical Examiner,Medical Incident.West of Twin Peaks,108
Traffic Collision.Outer Mission.No Merit,Traffic Collision.Outer Mission,13
Citizen Assist - Service Call.Chinatown.Against Medical Advice,Citizen Assist - Service Call.Chinatown,3
Alarms.Outer Mission.Fire,Alarms.Outer Mission,231
Elevator - Escalator Rescue.Financial District-South Beach.Patient Declined Transport,Elevator - Escalator Rescue.Financial District-South Beach,6
Vehicle Fire.Presidio Heights.Fire,Vehicle Fire.Presidio Heights,8
Other.Inner Richmond.No Merit,Other.Inner Richmond,2
Citizen Assist - Service Call.Mission.Fire,Citizen Assist - Service Call.Mission,211
Traffic Collision.Bernal Heights.Cancelled,Traffic Collision.Bernal Heights,30
Outside Fire.Visitacion Valley.Other,Outside Fire.Visitacion Valley,1
Medical Incident.Portola.Medical Examiner,Medical Incident.Portola,37
Water Rescue.Marina.Medical Examiner,Water Rescue.Marina,5
Industrial Accidents.Bayview Hunters Point.Code 3 Transport,Industrial Accidents.Bayview Hunters Point,6
Outside Fire.None.SFPD,Outside Fire.None,1
Medical Incident.Noe Valley.Unable to Locate,Medical Incident.Noe Valley,24
Medical Incident.Marina.Gone on Arrival,Medical Incident.Marina,15
Traffic Collision.Chinatown.Unable to Locate,Traffic Collision.Chinatown,6
Outside Fire.Pacific Heights.Unable to Locate,Outside Fire.Pacific Heights,1
Structure Fire.Nob Hill.Code 2 Transport,Structure Fire.Nob Hill,18
Medical Incident.Marina.SFPD,Medical Incident.Marina,21
Citizen Assist - Service Call.West of Twin Peaks.Fire,Citizen Assist - Service Call.West of Twin Peaks,144
Medical Incident.Bayview Hunters Point.Unable to Locate,Medical Incident.Bayview Hunters Point,180
Other.Pacific Heights.Against Medical Advice,Other.Pacific Heights,6
Medical Incident.Tenderloin.Cancelled,Medical Incident.Tenderloin,1189
Medical Incident.Treasure Island.Unable to Locate,Medical Incident.Treasure Island,25
Structure Fire.Castro-Upper Market.Fire,Structure Fire.Castro-Upper Market,635
Traffic Collision.Golden Gate Park.Cancelled,Traffic Collision.Golden Gate Park,5
Medical Incident.Sunset-Parkside.Fire,Medical Incident.Sunset-Parkside,110
Medical Incident.Inner Richmond.Code 2 Transport,Medical Incident.Inner Richmond,1633
Elevator - Escalator Rescue.Bayview Hunters Point.Cancelled,Elevator - Escalator Rescue.Bayview Hunters Point,2
Elevator - Escalator Rescue.Japantown.Fire,Elevator - Escalator Rescue.Japantown,10
Citizen Assist - Service Call.Portola.Fire,Citizen Assist - Service Call.Portola,45
Structure Fire.Outer Richmond.Fire,Structure Fire.Outer Richmond,845
Electrical Hazard.Sunset-Parkside.No Merit,Electrical Hazard.Sunset-Parkside,2
Medical Incident.Mission.Medical Examiner,Medical Incident.Mission,291
Other.Excelsior.Code 2 Transport,Other.Excelsior,12
Traffic Collision.Bayview Hunters Point.Patient Declined Transport,Traffic Collision.Bayview Hunters Point,145
Alarms.Russian Hill.Fire,Alarms.Russian Hill,771
Other.Castro-Upper Market.No Merit,Other.Castro-Upper Market,6
Medical Incident.Mission.Other,Medical Incident.Mission,244
Traffic Collision.Russian Hill.No Merit,Traffic Collision.Russian Hill,8
Explosion.Mission Bay.No Merit,Explosion.Mission Bay,6
Other.Glen Park.Cancelled,Other.Glen Park,5
Other.Outer Richmond.No Merit,Other.Outer Richmond,2
Medical Incident.Presidio Heights.Gone on Arrival,Medical Incident.Presidio Heights,5
Gas Leak (Natural and LP Gases).Lincoln Park.Fire,Gas Leak (Natural and LP Gases).Lincoln Park,3
Alarms.North Beach.Other,Alarms.North Beach,3
Assist Police.Sunset-Parkside.Fire,Assist Police.Sunset-Parkside,2
Other.Noe Valley.SFPD,Other.Noe Valley,5
Other.North Beach.Cancelled,Other.North Beach,7
Traffic Collision.South of Market.Fire,Traffic Collision.South of Market,8
Traffic Collision.Treasure Island.Patient Declined Transport,Traffic Collision.Treasure Island,58
Water Rescue.Lincoln Park.Fire,Water Rescue.Lincoln Park,59
Vehicle Fire.Marina.Fire,Vehicle Fire.Marina,10
Smoke Investigation (Outside).Mission.Cancelled,Smoke Investigation (Outside).Mission,10
Outside Fire.Tenderloin.No Merit,Outside Fire.Tenderloin,12
Alarms.South of Market.No Merit,Alarms.South of Market,13
Other.Marina.Unable to Locate,Other.Marina,1
Water Rescue.Mission Bay.No Merit,Water Rescue.Mission Bay,13
Citizen Assist - Service Call.Sunset-Parkside.Other,Citizen Assist - Service Call.Sunset-Parkside,3
Medical Incident.None.Against Medical Advice,Medical Incident.None,2
Medical Incident.Oceanview-Merced-Ingleside.Code 3 Transport,Medical Incident.Oceanview-Merced-Ingleside,245
Medical Incident.Haight Ashbury.Cancelled,Medical Incident.Haight Ashbury,82
Other.Bayview Hunters Point.SFPD,Other.Bayview Hunters Point,10
Elevator - Escalator Rescue.Pacific Heights.No Merit,Elevator - Escalator Rescue.Pacific Heights,5
Electrical Hazard.Nob Hill.No Merit,Electrical Hazard.Nob Hill,1
Elevator - Escalator Rescue.Bernal Heights.Patient Declined Transport,Elevator - Escalator Rescue.Bernal Heights,2
Medical Incident.Portola.Other,Medical Incident.Portola,17
Traffic Collision.Lone Mountain-USF.Fire,Traffic Collision.Lone Mountain-USF,2
Medical Incident.Nob Hill.Fire,Medical Incident.Nob Hill,88
Medical Incident.Potrero Hill.Patient Declined Transport,Medical Incident.Potrero Hill,222
Citizen Assist - Service Call.Bernal Heights.Code 2 Transport,Citizen Assist - Service Call.Bernal Heights,4
Electrical Hazard.Excelsior.Fire,Electrical Hazard.Excelsior,88
Traffic Collision.Inner Sunset.Code 3 Transport,Traffic Collision.Inner Sunset,17
Medical Incident.Outer Richmond.Code 2 Transport,Medical Incident.Outer Richmond,3159
Medical Incident.Chinatown.Patient Declined Transport,Medical Incident.Chinatown,243
Traffic Collision.Noe Valley.Patient Declined Transport,Traffic Collision.Noe Valley,12
Water Rescue.Outer Richmond.Code 3 Transport,Water Rescue.Outer Richmond,20
Medical Incident.West of Twin Peaks.Other,Medical Incident.West of Twin Peaks,41
Structure Fire.Inner Richmond.Fire,Structure Fire.Inner Richmond,401
Structure Fire.Sunset-Parkside.Code 2 Transport,Structure Fire.Sunset-Parkside,15
Medical Incident.Excelsior.No Merit,Medical Incident.Excelsior,132
Medical Incident.Castro-Upper Market.Code 2 Transport,Medical Incident.Castro-Upper Market,3362
Traffic Collision.Financial District-South Beach.Cancelled,Traffic Collision.Financial District-South Beach,67
Other.Treasure Island.SFPD,Other.Treasure Island,1
Odor (Strange - Unknown).Excelsior.Fire,Odor (Strange - Unknown).Excelsior,5
Smoke Investigation (Outside).Haight Ashbury.Other,Smoke Investigation (Outside).Haight Ashbury,1
Train - Rail Incident.Mission Bay.Code 3 Transport,Train - Rail Incident.Mission Bay,8
Medical Incident.Presidio Heights.SFPD,Medical Incident.Presidio Heights,4
Gas Leak (Natural and LP Gases).Portola.Fire,Gas Leak (Natural and LP Gases).Portola,11
Outside Fire.Potrero Hill.Other,Outside Fire.Potrero Hill,3
Medical Incident.Sunset-Parkside.SFPD,Medical Incident.Sunset-Parkside,25
Structure Fire.Presidio Heights.Code 2 Transport,Structure Fire.Presidio Heights,17
Other.Lakeshore.No Merit,Other.Lakeshore,1
Gas Leak (Natural and LP Gases).West of Twin Peaks.Fire,Gas Leak (Natural and LP Gases).West of Twin Peaks,43
Traffic Collision.Pacific Heights.Other,Traffic Collision.Pacific Heights,2
Smoke Investigation (Outside).Twin Peaks.Fire,Smoke Investigation (Outside).Twin Peaks,12
Medical Incident.Marina.Fire,Medical Incident.Marina,28
Water Rescue.Portola.Fire,Water Rescue.Portola,6
Outside Fire.Chinatown.Other,Outside Fire.Chinatown,1
Structure Fire.Noe Valley.No Merit,Structure Fire.Noe Valley,2
Structure Fire.Seacliff.Cancelled,Structure Fire.Seacliff,2
Traffic Collision.North Beach.CHP,Traffic Collision.North Beach,2
Traffic Collision.Twin Peaks.Code 2 Transport,Traffic Collision.Twin Peaks,18
Outside Fire.None.Fire,Outside Fire.None,5
Vehicle Fire.Nob Hill.Fire,Vehicle Fire.Nob Hill,14
Medical Incident.Inner Sunset.Cancelled,Medical Incident.Inner Sunset,61
Medical Incident.Financial District-South Beach.Code 3 Transport,Medical Incident.Financial District-South Beach,493
Elevator - Escalator Rescue.Glen Park.Fire,Elevator - Escalator Rescue.Glen Park,1
Explosion.West of Twin Peaks.Fire,Explosion.West of Twin Peaks,1
Structure Fire.Bayview Hunters Point.No Merit,Structure Fire.Bayview Hunters Point,10
Citizen Assist - Service Call.Mission.SFPD,Citizen Assist - Service Call.Mission,3
Water Rescue.Financial District-South Beach.Code 2 Transport,Water Rescue.Financial District-South Beach,156
Gas Leak (Natural and LP Gases).Mission.Fire,Gas Leak (Natural and LP Gases).Mission,167
Traffic Collision.Oceanview-Merced-Ingleside.Cancelled,Traffic Collision.Oceanview-Merced-Ingleside,33
Traffic Collision.Haight Ashbury.Code 3 Transport,Traffic Collision.Haight Ashbury,16
Water Rescue.Lakeshore.Code 3 Transport,Water Rescue.Lakeshore,31
Electrical Hazard.Outer Richmond.Unable to Locate,Electrical Hazard.Outer Richmond,1
Medical Incident.Lakeshore.Code 2 Transport,Medical Incident.Lakeshore,2067
Elevator - Escalator Rescue.North Beach.Fire,Elevator - Escalator Rescue.North Beach,20
Gas Leak (Natural and LP Gases).Financial District-South Beach.Code 2 Transport,Gas Leak (Natural and LP Gases).Financial District-South Beach,5
Medical Incident.Sunset-Parkside.Gone on Arrival,Medical Incident.Sunset-Parkside,7
Other.South of Market.Patient Declined Transport,Other.South of Market,7
Other.Treasure Island.Fire,Other.Treasure Island,64
Medical Incident.Presidio Heights.Fire,Medical Incident.Presidio Heights,26
Other.Sunset-Parkside.Unable to Locate,Other.Sunset-Parkside,1
HazMat.South of Market.Fire,HazMat.South of Market,10
Medical Incident.Bernal Heights.Code 3 Transport,Medical Incident.Bernal Heights,203
Alarms.Potrero Hill.Code 2 Transport,Alarms.Potrero Hill,4
Other.Western Addition.Code 3 Transport,Other.Western Addition,4
Fuel Spill.Twin Peaks.Fire,Fuel Spill.Twin Peaks,4
Alarms.Japantown.Other,Alarms.Japantown,3
Water Rescue.Sunset-Parkside.Other,Water Rescue.Sunset-Parkside,13
Citizen Assist - Service Call.Oceanview-Merced-Ingleside.Code 2 Transport,Citizen Assist - Service Call.Oceanview-Merced-Ingleside,15
Citizen Assist - Service Call.Mission Bay.No Merit,Citizen Assist - Service Call.Mission Bay,2
Medical Incident.Nob Hill.SFPD,Medical Incident.Nob Hill,52
Traffic Collision.South of Market.Gone on Arrival,Traffic Collision.South of Market,16
Alarms.Chinatown.Code 2 Transport,Alarms.Chinatown,5
Citizen Assist - Service Call.Outer Richmond.Code 3 Transport,Citizen Assist - Service Call.Outer Richmond,2
Citizen Assist - Service Call.Twin Peaks.Cancelled,Citizen Assist - Service Call.Twin Peaks,3
Other.Bayview Hunters Point.Fire,Other.Bayview Hunters Point,177
Other.Japantown.Cancelled,Other.Japantown,2
Medical Incident.Lincoln Park.Medical Examiner,Medical Incident.Lincoln Park,8
Other.Hayes Valley.Cancelled,Other.Hayes Valley,10
Medical Incident.Golden Gate Park.Code 3 Transport,Medical Incident.Golden Gate Park,57
Medical Incident.Western Addition.CHP,Medical Incident.Western Addition,2
Traffic Collision.Tenderloin.Code 3 Transport,Traffic Collision.Tenderloin,93
Gas Leak (Natural and LP Gases).Western Addition.No Merit,Gas Leak (Natural and LP Gases).Western Addition,7
Traffic Collision.South of Market.SFPD,Traffic Collision.South of Market,13
Medical Incident.Nob Hill.Gone on Arrival,Medical Incident.Nob Hill,32
Vehicle Fire.Bayview Hunters Point.Unable to Locate,Vehicle Fire.Bayview Hunters Point,6
Other.Noe Valley.Fire,Other.Noe Valley,43
Alarms.South of Market.Duplicate,Alarms.South of Market,6
Citizen Assist - Service Call.Lincoln Park.Fire,Citizen Assist - Service Call.Lincoln Park,1
"Extrication - Entrapped (Machinery, Vehicle).Bayview Hunters Point.Code 3 Transport","Extrication - Entrapped (Machinery, Vehicle).Bayview Hunters Point",6
Structure Fire.Mission.Code 3 Transport,Structure Fire.Mission,14
Medical Incident.Visitacion Valley.Patient Declined Transport,Medical Incident.Visitacion Valley,191
Structure Fire.Lakeshore.Fire,Structure Fire.Lakeshore,282
Traffic Collision.Seacliff.Other,Traffic Collision.Seacliff,2
Vehicle Fire.Tenderloin.Cancelled,Vehicle Fire.Tenderloin,7
Vehicle Fire.Treasure Island.Unable to Locate,Vehicle Fire.Treasure Island,12
Smoke Investigation (Outside).Potrero Hill.No Merit,Smoke Investigation (Outside).Potrero Hill,1
Smoke Investigation (Outside).Outer Mission.Unable to Locate,Smoke Investigation (Outside).Outer Mission,1
Vehicle Fire.Sunset-Parkside.Fire,Vehicle Fire.Sunset-Parkside,35
Assist Police.West of Twin Peaks.Fire,Assist Police.West of Twin Peaks,2
Traffic Collision.Pacific Heights.Gone on Arrival,Traffic Collision.Pacific Heights,2
Traffic Collision.Inner Richmond.Cancelled,Traffic Collision.Inner Richmond,12
Medical Incident.Golden Gate Park.Code 2 Transport,Medical Incident.Golden Gate Park,570
Medical Incident.Lincoln Park.SFPD,Medical Incident.Lincoln Park,2
Structure Fire.Financial District-South Beach.Fire,Structure Fire.Financial District-South Beach,1375
Traffic Collision.Tenderloin.Code 2 Transport,Traffic Collision.Tenderloin,361
Medical Incident.Nob Hill.Medical Examiner,Medical Incident.Nob Hill,184
Outside Fire.Visitacion Valley.Fire,Outside Fire.Visitacion Valley,90
Other.Outer Mission.Cancelled,Other.Outer Mission,3
Citizen Assist - Service Call.Mission.Other,Citizen Assist - Service Call.Mission,1
Other.Pacific Heights.Patient Declined Transport,Other.Pacific Heights,6
Smoke Investigation (Outside).Hayes Valley.Unable to Locate,Smoke Investigation (Outside).Hayes Valley,1
Medical Incident.Western Addition.No Merit,Medical Incident.Western Addition,474
"Extrication - Entrapped (Machinery, Vehicle).Bayview Hunters Point.Code 2 Transport","Extrication - Entrapped (Machinery, Vehicle).Bayview Hunters Point",7
Vehicle Fire.Presidio Heights.Other,Vehicle Fire.Presidio Heights,8
HazMat.Pacific Heights.Fire,HazMat.Pacific Heights,4
Structure Fire.Mission.Code 2 Transport,Structure Fire.Mission,47
Odor (Strange - Unknown).Western Addition.Fire,Odor (Strange - Unknown).Western Addition,10
Alarms.Outer Mission.Other,Alarms.Outer Mission,6
Electrical Hazard.Western Addition.Fire,Electrical Hazard.Western Addition,13
Other.Bernal Heights.No Merit,Other.Bernal Heights,1
Structure Fire.South of Market.Cancelled,Structure Fire.South of Market,2
Citizen Assist - Service Call.Nob Hill.Fire,Citizen Assist - Service Call.Nob Hill,128
Medical Incident.Bernal Heights.Code 2 Transport,Medical Incident.Bernal Heights,2078
Citizen Assist - Service Call.Potrero Hill.Patient Declined Transport,Citizen Assist - Service Call.Potrero Hill,1
Outside Fire.Potrero Hill.SFPD,Outside Fire.Potrero Hill,2
Medical Incident.Mission Bay.Duplicate,Medical Incident.Mission Bay,3
Structure Fire.West of Twin Peaks.Code 2 Transport,Structure Fire.West of Twin Peaks,3
Medical Incident.Sunset-Parkside.Other,Medical Incident.Sunset-Parkside,44
Structure Fire.Castro-Upper Market.Other,Structure Fire.Castro-Upper Market,53
Other.Western Addition.Code 2 Transport,Other.Western Addition,13
Citizen Assist - Service Call.Haight Ashbury.Cancelled,Citizen Assist - Service Call.Haight Ashbury,3
Citizen Assist - Service Call.Castro-Upper Market.Code 2 Transport,Citizen Assist - Service Call.Castro-Upper Market,14
Fuel Spill.Nob Hill.Cancelled,Fuel Spill.Nob Hill,1
Citizen Assist - Service Call.Excelsior.No Merit,Citizen Assist - Service Call.Excelsior,2
Smoke Investigation (Outside).Tenderloin.Fire,Smoke Investigation (Outside).Tenderloin,12
Traffic Collision.Pacific Heights.SFPD,Traffic Collision.Pacific Heights,8
Gas Leak (Natural and LP Gases).Presidio Heights.Fire,Gas Leak (Natural and LP Gases).Presidio Heights,32
Citizen Assist - Service Call.Outer Richmond.Code 2 Transport,Citizen Assist - Service Call.Outer Richmond,14
Elevator - Escalator Rescue.Financial District-South Beach.Against Medical Advice,Elevator - Escalator Rescue.Financial District-South Beach,2
Fuel Spill.Haight Ashbury.Fire,Fuel Spill.Haight Ashbury,4
Citizen Assist - Service Call.Chinatown.Patient Declined Transport,Citizen Assist - Service Call.Chinatown,5
Assist Police.Mission.Fire,Assist Police.Mission,2
Traffic Collision.South of Market.Medical Examiner,Traffic Collision.South of Market,18
Alarms.Glen Park.Fire,Alarms.Glen Park,203
Traffic Collision.Twin Peaks.Code 3 Transport,Traffic Collision.Twin Peaks,4
Traffic Collision.Glen Park.No Merit,Traffic Collision.Glen Park,10
Traffic Collision.South of Market.Other,Traffic Collision.South of Market,66
Traffic Collision.Outer Richmond.Cancelled,Traffic Collision.Outer Richmond,13
Medical Incident.Financial District-South Beach.Code 2 Transport,Medical Incident.Financial District-South Beach,9158
Other.Russian Hill.Cancelled,Other.Russian Hill,11
Traffic Collision.Noe Valley.Against Medical Advice,Traffic Collision.Noe Valley,11
Structure Fire.Golden Gate Park.Fire,Structure Fire.Golden Gate Park,78
Medical Incident.Chinatown.Against Medical Advice,Medical Incident.Chinatown,121
Water Rescue.Financial District-South Beach.Code 3 Transport,Water Rescue.Financial District-South Beach,15
Traffic Collision.Castro-Upper Market.Cancelled,Traffic Collision.Castro-Upper Market,9
Medical Incident.Potrero Hill.Against Medical Advice,Medical Incident.Potrero Hill,57
Alarms.North Beach.Fire,Alarms.North Beach,1022
Traffic Collision.Haight Ashbury.Code 2 Transport,Traffic Collision.Haight Ashbury,71
Traffic Collision.McLaren Park.SFPD,Traffic Collision.McLaren Park,2
Electrical Hazard.Mission.No Merit,Electrical Hazard.Mission,6
Medical Incident.Sunset-Parkside.Medical Examiner,Medical Incident.Sunset-Parkside,236
Traffic Collision.North Beach.No Merit,Traffic Collision.North Beach,2
Medical Incident.Lakeshore.Code 3 Transport,Medical Incident.Lakeshore,183
Explosion.Marina.Fire,Explosion.Marina,5
Medical Incident.Mission.Fire,Medical Incident.Mission,181
Traffic Collision.Presidio.Fire,Traffic Collision.Presidio,13
Medical Incident.None.Patient Declined Transport,Medical Incident.None,5
Alarms.Russian Hill.Other,Alarms.Russian Hill,3
Odor (Strange - Unknown).Mission.No Merit,Odor (Strange - Unknown).Mission,5
Alarms.Presidio.No Merit,Alarms.Presidio,3
Odor (Strange - Unknown).West of Twin Peaks.No Merit,Odor (Strange - Unknown).West of Twin Peaks,1
Gas Leak (Natural and LP Gases).Marina.Fire,Gas Leak (Natural and LP Gases).Marina,72
Smoke Investigation (Outside).Haight Ashbury.Fire,Smoke Investigation (Outside).Haight Ashbury,15
Citizen Assist - Service Call.Bayview Hunters Point.Unable to Locate,Citizen Assist - Service Call.Bayview Hunters Point,3
Traffic Collision.Treasure Island.Against Medical Advice,Traffic Collision.Treasure Island,40
Medical Incident.West of Twin Peaks.Fire,Medical Incident.West of Twin Peaks,82
Electrical Hazard.Visitacion Valley.Cancelled,Electrical Hazard.Visitacion Valley,1
Structure Fire.Bernal Heights.Fire,Structure Fire.Bernal Heights,498
Fuel Spill.Tenderloin.Fire,Fuel Spill.Tenderloin,9
Electrical Hazard.West of Twin Peaks.No Merit,Electrical Hazard.West of Twin Peaks,1
Vehicle Fire.Lincoln Park.Fire,Vehicle Fire.Lincoln Park,3
Other.Financial District-South Beach.No Merit,Other.Financial District-South Beach,12
Medical Incident.Portola.Fire,Medical Incident.Portola,20
Medical Incident.Nob Hill.Other,Medical Incident.Nob Hill,66
Water Rescue.Marina.Fire,Water Rescue.Marina,117
HazMat.Hayes Valley.No Merit,HazMat.Hayes Valley,3
Citizen Assist - Service Call.Mission.Medical Examiner,Citizen Assist - Service Call.Mission,3
Citizen Assist - Service Call.Tenderloin.Cancelled,Citizen Assist - Service Call.Tenderloin,6
Citizen Assist - Service Call.Sunset-Parkside.Fire,Citizen Assist - Service Call.Sunset-Parkside,165
Citizen Assist - Service Call.Inner Richmond.Code 2 Transport,Citizen Assist - Service Call.Inner Richmond,9
Traffic Collision.Bayview Hunters Point.Against Medical Advice,Traffic Collision.Bayview Hunters Point,60
Outside Fire.Western Addition.Cancelled,Outside Fire.Western Addition,1
Vehicle Fire.Financial District-South Beach.Code 2 Transport,Vehicle Fire.Financial District-South Beach,9
Traffic Collision.Lakeshore.Cancelled,Traffic Collision.Lakeshore,5
Medical Incident.Oceanview-Merced-Ingleside.Code 2 Transport,Medical Incident.Oceanview-Merced-Ingleside,1738
Medical Incident.Mission Bay.No Merit,Medical Incident.Mission Bay,247
Gas Leak (Natural and LP Gases).Outer Richmond.Code 2 Transport,Gas Leak (Natural and LP Gases).Outer Richmond,3
Citizen Assist - Service Call.Presidio Heights.Fire,Citizen Assist - Service Call.Presidio Heights,53
Outside Fire.Chinatown.Fire,Outside Fire.Chinatown,53
Medical Incident.Marina.Other,Medical Incident.Marina,38
Water Rescue.Nob Hill.Fire,Water Rescue.Nob Hill,37
Traffic Collision.Pacific Heights.Fire,Traffic Collision.Pacific Heights,2
Gas Leak (Natural and LP Gases).Excelsior.No Merit,Gas Leak (Natural and LP Gases).Excelsior,2
Electrical Hazard.Mission Bay.Fire,Electrical Hazard.Mission Bay,9
Medical Incident.Twin Peaks.Cancelled,Medical Incident.Twin Peaks,23
Structure Fire.Western Addition.Unable to Locate,Structure Fire.Western Addition,24
Traffic Collision.Inner Sunset.Code 2 Transport,Traffic Collision.Inner Sunset,64
Vehicle Fire.Mission.Fire,Vehicle Fire.Mission,73
Medical Incident.Outer Richmond.Code 3 Transport,Medical Incident.Outer Richmond,437
Outside Fire.Potrero Hill.Fire,Outside Fire.Potrero Hill,144
Structure Fire.Russian Hill.Against Medical Advice,Structure Fire.Russian Hill,15
Water Rescue.Outer Richmond.Code 2 Transport,Water Rescue.Outer Richmond,49
Gas Leak (Natural and LP Gases).Nob Hill.Fire,Gas Leak (Natural and LP Gases).Nob Hill,79
Administrative.Pacific Heights.Other,Administrative.Pacific Heights,2
Medical Incident.Castro-Upper Market.Code 3 Transport,Medical Incident.Castro-Upper Market,280
Smoke Investigation (Outside).Inner Sunset.Fire,Smoke Investigation (Outside).Inner Sunset,18
Explosion.Nob Hill.Fire,Explosion.Nob Hill,4
Medical Incident.Presidio Heights.Medical Examiner,Medical Incident.Presidio Heights,33
Elevator - Escalator Rescue.Russian Hill.Fire,Elevator - Escalator Rescue.Russian Hill,19
Vehicle Fire.West of Twin Peaks.Fire,Vehicle Fire.West of Twin Peaks,11
Other.Mission.Unable to Locate,Other.Mission,3
Elevator - Escalator Rescue.South of Market.No Merit,Elevator - Escalator Rescue.South of Market,11
Medical Incident.Lincoln Park.Fire,Medical Incident.Lincoln Park,2
Smoke Investigation (Outside).Glen Park.Unable to Locate,Smoke Investigation (Outside).Glen Park,1
Vehicle Fire.Portola.Fire,Vehicle Fire.Portola,14
Other.Mission Bay.Code 2 Transport,Other.Mission Bay,3
Medical Incident.Western Addition.Duplicate,Medical Incident.Western Addition,1
Other.Bayview Hunters Point.Medical Examiner,Other.Bayview Hunters Point,3
Gas Leak (Natural and LP Gases).Sunset-Parkside.Fire,Gas Leak (Natural and LP Gases).Sunset-Parkside,57
Other.Bayview Hunters Point.Other,Other.Bayview Hunters Point,21
Medical Incident.Visitacion Valley.Against Medical Advice,Medical Incident.Visitacion Valley,70
Structure Fire.Oceanview-Merced-Ingleside.Fire,Structure Fire.Oceanview-Merced-Ingleside,316
Medical Incident.Portola.SFPD,Medical Incident.Portola,7
Outside Fire.South of Market.Unable to Locate,Outside Fire.South of Market,8
Water Rescue.Sunset-Parkside.Fire,Water Rescue.Sunset-Parkside,102
Alarms.Japantown.Fire,Alarms.Japantown,318
Alarms.Bayview Hunters Point.Cancelled,Alarms.Bayview Hunters Point,12
Medical Incident.Mission.Gone on Arrival,Medical Incident.Mission,106
Medical Incident.Inner Richmond.Code 3 Transport,Medical Incident.Inner Richmond,199
Medical Incident.West of Twin Peaks.SFPD,Medical Incident.West of Twin Peaks,26
Medical Incident.Presidio Heights.Other,Medical Incident.Presidio Heights,8
Other.Treasure Island.Other,Other.Treasure Island,11
Citizen Assist - Service Call.Marina.Fire,Citizen Assist - Service Call.Marina,114
Medical Incident.Mission.SFPD,Medical Incident.Mission,137
Alarms.Hayes Valley.Fire,Alarms.Hayes Valley,1120
Citizen Assist - Service Call.Inner Sunset.Cancelled,Citizen Assist - Service Call.Inner Sunset,2
Traffic Collision.Hayes Valley.No Merit,Traffic Collision.Hayes Valley,47
Vehicle Fire.Bernal Heights.Code 2 Transport,Vehicle Fire.Bernal Heights,7
Medical Incident.West of Twin Peaks.Gone on Arrival,Medical Incident.West of Twin Peaks,15
Industrial Accidents.Treasure Island.Code 2 Transport,Industrial Accidents.Treasure Island,4
Elevator - Escalator Rescue.Outer Mission.Fire,Elevator - Escalator Rescue.Outer Mission,5
Medical Incident.Marina.Medical Examiner,Medical Incident.Marina,113
Industrial Accidents.Bayview Hunters Point.Code 2 Transport,Industrial Accidents.Bayview Hunters Point,14
Medical Incident.Portola.Gone on Arrival,Medical Incident.Portola,6
Explosion.Sunset-Parkside.Fire,Explosion.Sunset-Parkside,7
Fuel Spill.Inner Sunset.Fire,Fuel Spill.Inner Sunset,6
Citizen Assist - Service Call.Lakeshore.Code 2 Transport,Citizen Assist - Service Call.Lakeshore,9
Outside Fire.Twin Peaks.No Merit,Outside Fire.Twin Peaks,2
Other.South of Market.Against Medical Advice,Other.South of Market,1
Traffic Collision.Inner Sunset.No Merit,Traffic Collision.Inner Sunset,7
Citizen Assist - Service Call.Hayes Valley.Cancelled,Citizen Assist - Service Call.Hayes Valley,3
Medical Incident.Mission.Unable to Locate,Medical Incident.Mission,488
Alarms.Inner Sunset.Fire,Alarms.Inner Sunset,880
Water Rescue.Outer Richmond.No Merit,Water Rescue.Outer Richmond,23
Traffic Collision.Presidio.Unable to Locate,Traffic Collision.Presidio,4
HazMat.Tenderloin.No Merit,HazMat.Tenderloin,7
Medical Incident.Excelsior.Code 3 Transport,Medical Incident.Excelsior,502
Assist Police.Bayview Hunters Point.Other,Assist Police.Bayview Hunters Point,5
Citizen Assist - Service Call.Noe Valley.Fire,Citizen Assist - Service Call.Noe Valley,98
Medical Incident.Treasure Island.Medical Examiner,Medical Incident.Treasure Island,20
Other.Presidio Heights.Medical Examiner,Other.Presidio Heights,2
Vehicle Fire.Financial District-South Beach.No Merit,Vehicle Fire.Financial District-South Beach,4
Other.Lincoln Park.Fire,Other.Lincoln Park,3
Odor (Strange - Unknown).Oceanview-Merced-Ingleside.Fire,Odor (Strange - Unknown).Oceanview-Merced-Ingleside,4
Elevator - Escalator Rescue.Mission.Cancelled,Elevator - Escalator Rescue.Mission,3
Fuel Spill.Hayes Valley.Fire,Fuel Spill.Hayes Valley,3
Medical Incident.Mission Bay.Code 2 Transport,Medical Incident.Mission Bay,2279
Medical Incident.Oceanview-Merced-Ingleside.No Merit,Medical Incident.Oceanview-Merced-Ingleside,94
Medical Incident.Bayview Hunters Point.Medical Examiner,Medical Incident.Bayview Hunters Point,213
Citizen Assist - Service Call.Lone Mountain-USF.Patient Declined Transport,Citizen Assist - Service Call.Lone Mountain-USF,4
Medical Incident.Outer Richmond.CHP,Medical Incident.Outer Richmond,2
Gas Leak (Natural and LP Gases).Outer Richmond.No Merit,Gas Leak (Natural and LP Gases).Outer Richmond,8
"Extrication - Entrapped (Machinery, Vehicle).Castro-Upper Market.Fire","Extrication - Entrapped (Machinery, Vehicle).Castro-Upper Market",2
